[2025-09-16T05:17:22.145Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:17:22.960Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:17:22.962Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:23.153Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:23.787Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:25.940Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:25.942Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:32.410Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:32.991Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:18:33.513Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:23.584Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:24.613Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:24.864Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:24.982Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:25.004Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:27.018Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:27.021Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:32.000Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:21:32.908Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:21:34.912Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:21:37.143Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:21:51.924Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:21:59.872Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:21:59.890Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:22:12.182Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T05:28:03.586Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T05:28:03.621Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T05:28:03.761Z] [DEBUG] [KILL-CHROME] Erro ao matar chrome.exe: | Data: "Command failed: taskkill /f /im chrome.exe /t\nERRO: o processo \"chrome.exe\" n�o foi encontrado.\r\n"
[2025-09-16T05:28:03.958Z] [DEBUG] [KILL-CHROME] Erro ao matar chromium.exe: | Data: "Command failed: taskkill /f /im chromium.exe /t\nERRO: o processo \"chromium.exe\" n�o foi encontrado.\r\n"
